,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
1200,Memorandum on Rulemaking Concerning the Standards for Designating Positions in the Competitive Service as National Security Sensitive and Related Matters,Memorandum for the Director of National Intelligence and the Director of the Office of Personnel Management,Rulemaking Concerning the Standards for Designating Positions in the Competitive Service as National Security Sensitive and Related Matters,"Communications to Federal Agencies : National security sensitive positions, designation standards for competitive service, memorandum","Government organization and employees : National security sensitive positions, designation standards.",Barack Obama,"January 25, 2013","11:15 a.m., January 30, 2013",201300044
1201,Memorandum on Unexpected Urgent Refugee and Migration Needs Relating to Syria,Memorandum for the Secretary of State,Unexpected Urgent Refugee and Migration Needs Relating to Syria,"Communications to Federal Agencies : Syria, unexpected urgent refugee and migration needs, memorandum",Syria : Political unrest and violence; Syria : U.S. assistance.,Barack Obama,"January 29, 2013",,201300055
1202,Memorandum on Coordination of Policies and Programs To Promote Gender Equality and Empower Women and Girls Globally,Memorandum for the Heads of Executive Departments and Agencies,Coordination of Policies and Programs to Promote Gender Equality and Empower Women and Girls Globally,"Communications to Federal Agencies : Women and girls, gender quality and empowerment, memorandum on global coordination efforts",Civil rights : Women's rights and gender equality.,Barack Obama,"January 30, 2013","11:15 a.m., February 1, 2013",201300057
1203,Memorandum on Delegation of a Reporting Authority,Memorandum for the Secretary of Transportation,Delegation of a Reporting Authority,"Communications to Federal Agencies : Transportation, Secretary of, delegation of reporting authority, memorandum","Transportation, Department of : Reporting authority, delegation.",Barack Obama,"January 31, 2013","8:45 a.m., February 5, 2013",201300058
1204,Memorandum on Delegation of Authority To Suspend the Provisions of Title III of the Cuban Liberty and Democratic Solidarity (LIBERTAD) Act of 1996,Memorandum for the Secretary of State,Delegation of Authority to Suspend the Provisions of Title III of the Cuban Liberty and Democratic Solidarity (LIBERTAD) Act of 1996,"Communications to Federal Agencies : Cuban Liberty and Democratic Solidarity (LIBERTAD) Act of 1996, delegation of authority, memorandum",Cuba : Cuban Liberty and Democratic Solidarity (LIBERTAD) Act of 1996; Cuba : Democracy efforts.,Barack Obama,"January 31, 2013",,201300062
1205,Memorandum on Designation of Officers of the Pension Benefit Guaranty Corporation To Act as Director of the Pension Benefit Guaranty Corporation,Memorandum for the Director of the Pension Benefit Guaranty Corporation,Designation of Officers of the Pension Benefit Guaranty Corporation to Act as Director of the Pension Benefit Guaranty Corporation,"Communications to Federal Agencies : Pension Benefit Guaranty Corporation, designation of officers to act as Director, memorandum",Pension Benefit Guaranty Corporation.,Barack Obama,"February 1, 2013","11:15 a.m., February 5, 2013",201300069
1206,Memorandum on Waiver of Restriction on Providing Funds to the Palestinian Authority,Memorandum for the Secretary of State,Waiver of Restriction on Providing Funds to the Palestinian Authority,"Communications to Federal Agencies : Palestinian Authority, waiver of restrictions on funding, memorandum",Palestinian Authority and Palestinians : U.S. assistance.,Barack Obama,"February 8, 2013",,201300082
1207,"Memorandum on Drawdown Under Section 506(a)(1) of the Foreign Assistance Act of 1961, as Amended, for Chad and France To Support Their Efforts in Mali",Memorandum for the Secretary of State and the Secretary of Defense,"Drawdown Under Section 506(a)(1) of the Foreign Assistance Act of 1961, as Amended, for Chad and France to Support Their Efforts in Mali","Communications to Federal Agencies : Chad and France, emergency fund drawdown to support their efforts in Mali, memorandum","; Chad : Mali, role; France : Mali, role; Mali : U.S. Military assistance; Mali : Political unrest and violence.",Barack Obama,"February 11, 2013",,201300086
1208,"Memorandum on Delegation of Authority To Submit to the Congress Certain Certifications, Reports, and Notifications",Memorandum for the Secretary of State,"Delegation of Authority to Submit to the Congress Certain Certifications, Reports, and Notifications","Communications to Federal Agencies : State, Department of, certifications, reports, and notifications to Congress, memorandum on delegation of authority",Australia : Trade with U.S.,Barack Obama,"February 20, 2013","11:15 a.m., February 28, 2013",201300106
1209,Memorandum on Deferred Enforced Departure for Liberians,Memorandum for the Secretary of Homeland Security,Deferred Enforced Departure for Liberians," Communications to Federal Agencies : Liberia, refugees in the U.S., deferred enforced departure, memorandum","Liberia : Liberian refugees in the U.S., status.",Barack Obama,"March 15, 2013",,201300156
1210,Memorandum on Delegation of Authority To Appoint Commissioned Officers of the Ready Reserve Corps of the Public Health Service,Memorandum for the Secretary of Health and Human Services,Delegation of Authority to Appoint Commissioned Officers of the Ready Reserve Corps of the Public Health Service,"Communications to Federal Agencies : Public Health Service, Ready Reserve Corps commissioned officers, memorandum delegating appointment authority","Health and Human Services, Department of : Public Health Service.",Barack Obama,"March 29, 2013","8:45 a.m., April 3, 2013",201300206
1211,Memorandum on Delegation of Functions Under Section 404 and 406 of Public Law 112–208,Memorandum for the Secretary of State and the Secretary of the Treasury,Delegation of Functions Under Sections 404 and 406 of Public Law 112–208,"Communications to Federal Agencies : Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012, delegation of functions, memorandum",Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012.,Barack Obama,"April 5, 2013","11:15 a.m., April 15, 2013",201300223
1212,Memorandum on Federal Employee Pay Schedules and Rates That Are Set by Administrative Discretion,Memorandum for the Heads of Executive Departments and Agencies,Federal Employee Pay Schedules and Rates That Are Set by Administrative Discretion,"Communications to Federal Agencies : Federal employees, pay schedules and rates, memorandum","Government organization and employees : Federal employees, pay rate adjustments.",Barack Obama,"April 5, 2013","8:45 a.m., April 9, 2013",201300224
1213,Memorandum on Drawdown Pursuant to Section 552(c)(2) of the Foreign Assistance Act of 1961 of up to $10 Million in Commodities and Services From Any Agency of the United States Government to the Syrian Opposition Coalition (SOC) and the Syrian Opposition's Supreme Military Council (SMC),Memorandum for the Secretary of State and the Secretary of Defense,," Communications to Federal Agencies : Syrian Opposition Council and Supreme Military Council, U.S. assistance, memorandum",Syria : U.S. assistance.,Barack Obama,"April 11, 2013",,201300240
1214,Memorandum on Advancing Pay Equality in the Federal Government and Learning From Successful Practices,Memorandum for the Heads of Executive Departments and Agencies,,"Communications to Federal Agencies : Pay equality in Federal Government, memorandum on best practices","Civil rights : Wage equality; Government organization and employees : Pay equality, strengthening efforts.",Barack Obama,"May 10, 2013","11:15 a.m., May 14, 2013",201300324
1215,"Memorandum on Modernizing Federal Infrastructure Review and Permitting Regulations, Policies, and Procedures",Memorandum for the Heads of Executive Departments and Agencies,"Modernizing Federal Infrastructure Review and Permitting Regulations, Policies, and Procedures","Communications to Federal Agencies : Federal infrastructure review and permitting regulations, policies, and procedures, memorandum on modernization efforts","Government organization and employees : Federal infrastructure review and permitting, modernization efforts; Transportation : Infrastructure, national, improvement efforts.",Barack Obama,"May 17, 2013","11:15 a.m., May 21, 2013",201300346
1216,Memorandum on Delegation of Certain Functions and Authorities Under the Iran Freedom and Counter-Proliferation Act of 2012,"Memorandum for the Secretary of State, the Secretary of the Treasury, the Attorney General, the Secretary of Energy, the Secretary of Commerce, the Secretary of Homeland Security, United States Trade Representative, Director of National Intelligence, Chairman of the Board of Governors of the Federal Reserve System, and President of the Export-Import Bank of the United States",,"Communications to Federal Agencies : Iran Freedom and Counter-Proliferation Act of 2012, delegation of functions and authorities, memorandum",Iran : U.S. sanctions.,Barack Obama,"June 3, 2013","8:45 a.m., June 12, 2013",201300385
1217,Memorandum on Emergency Leave Transfer Program for Federal Employees Adversely Affected by Severe Storms and Tornadoes in Oklahoma,Memorandum for the Heads of Executive Departments and Agencies,Emergency Leave Transfer Program for Federal Employees Adversely Affected by the Severe Storms and Tornadoes in Oklahoma," Communications to Federal Agencies : Oklahoma storms and tornadoes, emergency leave transfer program for Federal employees, memorandum","Government organization and employees : Oklahoma tornadoes, emergency leave transfer program for Federal employees; Natural disasters : Oklahoma, tornadoes; Oklahoma : Tornadoes, damage and recovery efforts.",Barack Obama,"June 3, 2013",,201300387
1218,Memorandum on Suspension of Limitations Under the Jerusalem Embassy Act,Memorandum for the Secretary of State,,"Communications to Federal Agencies : Jerusalem Embassy Act, suspension of limitations, memorandum","Jerusalem Embassy Act of 1995, suspension of limitations.",Barack Obama,"June 5, 2013","11:15 a.m., June 11, 2013",201300390
1219,"Memorandum on Transforming Our Nation's Electric Grid Through Improved Siting, Permitting, and Review",Memorandum for the Heads of Executive Departments and Agencies,"Transforming our Nation's Electric Grid Through Improved Siting, Permitting, and Review","Communications to Federal Agencies : Electric grid siting, permitting, and review, improvement efforts, memorandum","Economy, national : Strengthening efforts; Energy : Infrastructure and grid improvements.",Barack Obama,"June 7, 2013","11:15 a.m., June 11, 2013",201300402
1220,Memorandum on Expanding America's Leadership in Wireless Innovation,Memorandum for the Heads of Executive Departments and Agencies,,"Communications to Federal Agencies : Wireless innovation, expanding U.S. leadership, memorandum","Communications : Broadband technology; Communications : Infrastructure, national, improvement efforts; Science and technology : Broadband technology.",Barack Obama,"June 14, 2013","11:15 a.m., June 19, 2013",201300421
1221,"Memorandum on Delegation of Reporting Functions Specified in Section 491 of Title 10, United States Code",Memorandum for the Secretary of Defense,"Delegation of Reporting Functions Specified in Section 491 of Title 10, United States Code","Communications to Federal Agencies : U.S.C. title 10, section 491, delegation of reporting functions, memorandum","Arms and munitions : Nuclear weapons and material :: U.S. nuclear weapons stockpile, reduction; Defense, Department of : Secretary; U.S.C. title 10, section 491, delegation of reporting functions.",Barack Obama,"June 19, 2013","11:15 a.m., June 20, 2013",201300440
1222,Memorandum on Power Sector Carbon Pollution Standards,Memorandum for the Administrator of the Environmental Protection Agency,Power Sector Carbon Pollution Standards,"Communications to Federal Agencies : Power sector carbon pollution standards, memorandum","Energy : Carbon dioxide emissions, reduction; Environment : Carbon emissions.",Barack Obama,"June 25, 2013","11:15 a.m., June 28, 2013",201300457
1223,Memorandum on Expanding National Service Through Partnerships To Advance Government Priorities,Memorandum for the Heads of Executive Departments and Agencies,Expanding National Service Through Partnerships to Advance Government Priorities,"Communications to Federal Agencies : Government priorities, advancement efforts through expansion of national service partnerships, memorandum","Government organization and employees : Federal programs, improvement efforts; Voluntarism.",Barack Obama,"July 15, 2013","11:15 a.m., July 18",201300500
1224,Memorandum on Waiver of Restriction on Providing Funds to the Palestinian Authority,Memorandum for the Secretary of State,Waiver of Restriction on Providing Funds to the Palestinian Authority,"Communications to Federal Agencies : Palestinian Authority, waiver of restrictions on funding, memorandum",Palestinian Authority and Palestinians : U.S. assistance.,Barack Obama,"July 26, 2013","8:45 a.m., August 6, 2013",201300531
1225,"Memorandum on Delegation of Authority Pursuant to Sections 110(d)(4) and 110(f) of the Trafficking Victims Protection Act of 2000, as Amended",Memorandum for the Secretary of State,"Delegation of Authority Pursuant to Sections 110(d)(4) and 110(f) of the Trafficking Victims Protection Act of 2000, as Amended","Communications to Federal Agencies : Trafficking Victims Protection Act of 2000, delegation of authority, memorandum","Foreign policy, U.S. : Trafficking in persons, efforts to combat; Syria : Trafficking in persons, efforts to combat.",Barack Obama,"July 29, 2013","8:45 a.m., August 6, 2013",201300539
1226,"Memorandum on Delegation of Authority Pursuant to Section 404(c) of the Child Soldiers Prevention Act of 2008, as Amended",Memorandum for the Secretary of State,"Delegation of Authority Pursuant to Section 404(c) of the Child Soldiers Prevention Act of 2008, as Amended"," Communications to Federal Agencies : Child Soldiers Prevention Act of 2008, delegation of authority, memorandum","Child Soldiers Prevention Act of 2008, delegation of authority.",Barack Obama,"August 2, 2013",,201300548
1227,Memorandum on Continuation of United States Drug Interdiction Assistance to the Government of Colombia,Memorandum for the Secretary of State and the Secretary of Defense,Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia,"Communications to Federal Agencies : Colombia, U.S. drug interdiction assistance, memorandum",Colombia : Counternarcotics and drug interdiction efforts; Colombia : U.S. assistance.,Barack Obama,"August 9, 2013","11:15 a.m., August 19, 2013",201300564
1228,Memorandum on Reviewing Our Global Signals Intelligence Collection and Communications Technologies,Memorandum for the Director of National Intelligence,Reviewing Our Global Signals Intelligence Collection and Communications Technologies,"Communications to Federal Agencies : Global signals intelligence collection and communications technologies, memorandum on review",Defense and national security : Electronic surveillance program; Defense and national security : Intelligence.,Barack Obama,"August 12, 2013","8:45 a.m., August 14, 2013",201300567
1229,Memorandum on Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,Memorandum for the Secretary of State and the Secretary of the Treasury,Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,"Communications to Federal Agencies : Trading With the Enemy Act, continuation of certain authorities, memorandum","Commerce, international : Trading With the Enemy Act; Cuba : Relations with U.S.",Barack Obama,"September 12, 2013","11:15 a.m., September 16, 2013",201300620
1230,"Memorandum on Provision of Defense Articles and Services to Vetted Members of the Syrian Opposition for Use in Syria To Prevent the Use or Proliferation of Chemical Weapons and Related Materials, Organizations Implementing U.S. Department of State or U.S. Agency for International Development (USAID) Programs Inside or Related to Syria, and International Organizations for Their Use Inside or Related to Syria",Memorandum for the Secretary of State,"Provision of Defense Articles and Services to Vetted Members of the Syrian Opposition for Use in Syria to Prevent the Use or Proliferation of Chemical Weapons and Related Materials, Organizations Implementing U.S. Department of State or U.S. Agency for International Development (USAID) Programs Inside or Related to Syria, and International Organizations for their Use Inside or Related to Syria","Communications to Federal Agencies : Syria, chemical weapons use or proliferation, memorandum on provision of defense articles and services to prevent",Arms and munitions : Chemical and biological weapons; Syria : Civil war and sectarian conflict; Syria : U.S. assistance.,Barack Obama,"September 16, 2013","8:45 a.m., September 24, 2013",201300634
1231,Memorandum on Provision of Atomic Information to Croatia,Memorandum for the Secretary of Defense,Provision of Atomic Information to Croatia,"Communications to Federal Agencies : Croatia, memorandum on provision of atomic information","Croatia, nuclear energy, cooperation with U.S.; North Atlantic Treaty Organization.",Barack Obama,"September 18, 2013",,201300640
1232,Memorandum on Designation of Officers of the General Services Administration To Act as Administrator of General Services,Memorandum for the Administrator Of General Services,Designation of Officers of the General Services Administration to Act as Administrator of General Services,"Communications to Federal Agencies : General Services Administration, designation of officers to act as Administrator, memorandum",General Services Administration.,Barack Obama,"September 20, 2013","11:15 a.m., September 25, 2013",201300647
1233,Memorandum on Designation of Officers of the Office of the Director of National Intelligence To Act as Director of National Intelligence,Memorandum for the Director of National Intelligence,Designation of Officers of the Office of the Director of National Intelligence to Act as Director of National Intelligence,"Communications to Federal Agencies : Intelligence, Office of the Director of National, memorandum on designation of officers to act as Director","Intelligence, Office of the Director of National.",Barack Obama,"September 20, 2013","11:15 a.m., September 24, 2013",201300648
1234,"Memorandum on Delegation of Authority Under Sections 552(c) (2) and 614 of the Foreign Assistance Act of 1961, as Amended",Memorandum for the Secretary of State,"Delegation of Authority Under Sections 552(c)(2) and 614 of the Foreign Assistance Act of 1961, as Amended","Communications to Federal Agencies : Foreign Assistance Act of 1961, delegation of authority, memorandum",Foreign Assistance Act of 1961; Syria : U.S. assistance.,Barack Obama,"September 27, 2013","11:15 a.m., October 18, 2013",201300669
1235,Memorandum on Refugee Admissions for Fiscal Year 2014,Memorandum for the Secretary of State,Refugee Admissions for Fiscal Year 2014,"Communications to Federal Agencies : Refugee admissions numbers, FY 2014, memorandum",Immigration and naturalization : Refugees.,Barack Obama,"October 2, 2013","11:15 a.m., October 18, 2013",201300684
1236,Memorandum on Provision of U.S. Drug Interdiction Assistance to the Government of Brazil,Memorandum for the Secretary of State and the Secretary of Defense,Provision of U.S. Drug Interdiction Assistance to the Government of Brazil,"Communications to Federal Agencies : Brazil, U.S. drug interdiction assistance, memorandum","Brazil : Counternarcotics efforts, cooperation with U.S.; Brazil : U.S. assistance.",Barack Obama,"October 10, 2013","11:15 a.m., October 21, 2013",201300696
1237,Memorandum on the Delegation of Functions Under Sections 1261(b) and 1262(a) of the National Defense Authorization Act for Fiscal Year 2013,Memorandum for the Secretary of State and the Secretary of Commerce,Delegation of Functions Under Sections 1261(b) and 1262(a) of Public Law 112–239," Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2013, memorandum on delegation of functions",Defense and national security : National Defense Authorization Act for Fiscal Year 2013.,Barack Obama,"October 28, 2013",,201300730
1238,Memorandum on Suspension of Limitations Under the Jerusalem Embassy Act,Memorandum for the Secretary of State,Suspension of Limitations under the Jerusalem Embassy Act,"Communications to Federal Agencies : Jerusalem Embassy Act of 1995, suspension of limitations, memorandum","Jerusalem Embassy Act of 1995, suspension of limitations.",Barack Obama,"December 3, 2013","11:15 a.m., December 9, 2013",201300826
1239,Memorandum on Federal Leadership on Energy Management,Memorandum for the Heads of Executive Departments and Agencies,Federal Leadership on Energy Management,"Communications to Federal Agencies : Energy management, Federal leadership, memorandum","Energy : Alternative and renewable sources and technologies :: Federal Government use; Energy : Energy efficiency and weatherization :: Homes and buildings; Government organization and employees : Energy management, Federal leadership efforts.",Barack Obama,"December 5, 2013","11:15 a.m., December 9, 2013",201300833
1240,"Memorandum on Delegation of Authority Under Section 506(a)(1) of the Foreign Assistance Act of 1961, as Amended",Memorandum for the Secretary of State,"Delegation of Authority Under Section 506(a)(1) of the Foreign Assistance Act of 1961, as Amended","Communications to Federal Agencies : Foreign Assistance Act of 1961, delegation of authority, memorandum","Foreign Assistance Act of 1961, delegation of authority.",Barack Obama,"December 10, 2013","11:15 a.m., December 23, 2013",201300848
1241,Memorandum on Eligibility of the Gulf Cooperation Council To Receive Defense Articles and Defense Services Under the Foreign Assistant Act of 1961 and the Arms Export Control Act,Memorandum for the Secretary of State,Eligibility of the Gulf Cooperation Council to Receive Defense Articles and Defense Services under the Foreign Assistance Act of 1961 and the Arms Export Control Act,"Communications to Federal Agencies : Gulf Cooperation Council, defense articles and services, memorandum on eligibility to receive","Middle East : Gulf Cooperation Council, security cooperation with U.S.",Barack Obama,"December 16, 2013","11:15 a.m., December 23, 2013",201300858
1242,Memorandum on the Proposed Agreement for Cooperation Between the American Institute in Taiwan and the Taipei Economic and Cultural Representative Office in the United States Concerning Peaceful Uses of Nuclear Energy,Memorandum for the Secretary of State and the Secretary of Energy,Proposed Agreement for Cooperation Between the American Institute in Taiwan and the Taipei Economic and Cultural Representative Office in the United States Concerning Peaceful Uses of Nuclear Energy,"Communications to Federal Agencies : American Institute in Taiwan and Taipei Economic and Cultural Representative Office in the U.S., proposed agreement for cooperation on peaceful uses of nuclear energy, memorandum","Taiwan : Nuclear energy, cooperation with U.S.; Taiwan : Security cooperation with U.S.",Barack Obama,"December 20, 2013","11:15 a.m., December 30, 2013",201300868
1243,Memorandum on Provision of Aviation Insurance Coverage for Commercial Air Carrier Service in Domestic and International Operations,Memorandum for the Secretary of Transportation,Provision of Aviation Insurance Coverage for Commercial Air Carrier Service in Domestic and International Operations,"Communications to Federal Agencies : Commercial air carrier service, provision of aviation insurance coverage, memorandum",Aviation : Air carrier insurance.,Barack Obama,"December 27, 2013","11:15 a.m., January 2, 2013",201300878
1244,Memorandum on the Proposed Third Amendment to the Agreement for Cooperation Between the United States of America and the International Atomic Energy Agency,Memorandum for the Secretary of State and the Secretary of Energy,Proposed Third Amendment to the Agreement for Co-operation Between the United States of America and the International Atomic Energy Agency,"Communications to Federal Agencies : International Atomic Energy Agency, agreement with U.S., memorandum on proposed third amendment","Atomic Energy Agency, International.",Barack Obama,"January 17, 2014","11:15 a.m., January 27, 2014",201400035
1245,Memorandum on Delegation of Authority Under Section 1245(d)(5) of the National Defense Authorization Act for Fiscal Year 2012 (Public Law 112–81),Memorandum for the Secretary of State,Delegation of Authority under Section 1245(d)(5) of the National Defense Authorization Act for Fiscal Year 2012 (Public Law 112–81)," Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2012, memorandum delegating authority",Defense and national security : National Defense Authorization Act for Fiscal Year 2012.,Barack Obama,"January 20, 2014",,201400038
1246,Memorandum on Retirement Savings Security,Memorandum for the Secretary of the Treasury,Retirement Savings Security,"Communications to Federal Agencies : Retirement savings security, memorandum",Social Security and retirement : Retirement accounts :: Treasury savings account.,Barack Obama,"January 29, 2014","8:45 a.m., February 3, 2014",201400053
1247,Memorandum on Job-Driven Training for Workers,"Memorandum for the Secretary of Labor, the Secretary of Commerce, and the Secretary of Education",Job-Driven Training for Workers,"Communications to Federal Agencies : Job-driven training, memorandum.",Education : Postsecondary education :: Career training and continuing education;,Barack Obama,"January 30, 2014","11:15 a.m., February 4, 2014",201400058
1248,Memorandum on Enhancing Safeguards To Prevent the Undue Denial of Federal Employment Opportunities to the Unemployed and Those Facing Financial Difficulty Through No Fault of Their Own,Memorandum for the Heads of Executive Departments and Agencies,Enhancing Safeguards to Prevent the Undue Denial of Federal Employment Opportunities to the Unemployed and Those Facing Financial Difficulty Through No Fault of Their Own,"Communications to Federal Agencies : Federal employment opportunities for the unemployed, safeguards to prevent undue denial, memorandum","Government organizations and employees : Recruitment and retention, strengthening efforts.",Barack Obama,"January 31, 2014","11:15 a.m., February 4, 2014",201400060
1249,Memorandum on Certification Concerning United States Participation in the United Nations Multidimensional Integrated Stabilization Mission in Mali Consistent With Section 2005 of the American Servicemembers' Protection Act,Memorandum for the Secretary of State,Certification Concerning U.S. Participation in the United Nations Multidimensional Integrated Stabilization Mission in Mali Consistent with Section 2005 of the American Servicemembers' Protection Act,"Communications to Federal Agencies : Mali, U.N. Multidimensional Integrated Stabilization Mission, memorandum concerning U.S. participation","Mali : United Nations Multidimensional Integrated Stabilization Mission; United Nations : Mali, U.N. Multidimensional Integrated Stabilization Mission in.",Barack Obama,"January 31, 2014","11:15 a.m., February 7, 2014",201400064
1250,Memorandum on the Proposed Agreement for Cooperation Between the Government of the United States of America and the Government of the Socialist Republic of Vietnam Concerning Peaceful Uses of Nuclear Energy,Memorandum for the Secretary of State and the Secretary of Energy,Proposed Agreement for Cooperation Between the Government of the United States of America and the Government of the Socialist Republic of Vietnam Concerning Peaceful Uses of Nuclear Energy,"Communications to Federal Agencies : Vietnam, proposed agreement on nuclear energy cooperation with U.S., memorandum","Vietnam : Nuclear energy, cooperation with U.S.",Barack Obama,"February 24, 2014","8:45 a.m., March 5, 2014",201400113
1251,Memorandum on Creating and Expanding Ladders of Opportunity for Boys and Young Men of Color,Memorandum for the Heads of Executive Departments and Agencies,Creating and Expanding Ladders of Opportunity for Boys and Young Men of Color,"Communications to Federal Agencies : Boys and young men of color, creating and expanding ladders of opportunity, memorandum","White House Office : \""My Brother's Keeper\"" initiative.",Barack Obama,"February 27, 2014","8:45 a.m., March 6, 2014",201400123
1252,Memorandum on Updating and Modernizing Overtime Regulations,Memorandum for the Secretary of Labor,Updating and Modernizing Overtime Regulations,"Communications to Federal Agencies : Overtime pay regulations, modernization efforts","Labor issues : Overtime pay regulations, modernization efforts.",Barack Obama,"March 13, 2014","11:15 a.m., March 17, 2014",201400165
1253,Memorandum on Pelly Certification and Icelandic Whaling,"Memorandum for the Vice President, the Secretary of State, the Secretary of the Treasury, the Secretary of Defense, the Attorney General, the Secretary of the Interior, the Secretary of Agriculture, the Secretary of Commerce, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Housing and Urban Development, the Secretary of Transportation, the Secretary of Energy, the Secretary of Education, the Secretary of Veterans Affairs, the Secretary of Homeland Security, the Assistant to the President and Chief of Staff, the Administrator of the Environmental Protection Agency, the Director of the Office of Management and Budget, the United States Trade Representative, the Representative of the United States of America to the United Nations, and the Chair of the Council of Economic Advisers",Pelly Certification and Icelandic Whaling," Communications to Federal Agencies : Iceland, whaling, Pelly certification, memorandum","Environment : Whaling; Iceland : Whaling; Interior, Department of the : Secretary; Whaling Commission, International.",Barack Obama,"April 1, 2014",,201400226
1254,Memorandum on Advancing Pay Equality Through Compensation Data Collection,Memorandum for the Secretary of Labor,Advancing Pay Equality Through Compensation Data Collection,"Communications to Federal Agencies : Compensation data collection, pay equality strengthening efforts, memorandum","Government organization and employees : Federal Government contracting policies, reform.",Barack Obama,"April 8, 2014","11:15 a.m., April 10, 2014",201400251
1255,Memorandum on Unexpected Urgent Refugee and Migration Needs Relating to South Sudan,Memorandum for the Secretary of State,Unexpected Urgent Refugee and Migration Needs Relating to South Sudan,"Communications to Federal Agencies : South Sudan, unexpected urgent refugee and migration needs, memorandum",South Sudan : Political unrest and violence; South Sudan : U.S. assistance.,Barack Obama,"May 19, 2014","11:15 a.m., May 28, 2014",201400379
1256,Memorandum on the Response to the Influx of Unaccompanied Alien Children Across the Southwest Border,Memorandum for the Heads of Executive Departments and Agencies,Response to the Influx of Unaccompanied Alien Children Across the Southwest Border,,"Immigration and naturalization : Illegal immigration; Immigration and naturalization : Unaccompanied alien children across U.S. Southwest border, increase.",Barack Obama,"June 2, 2014",,201400422
1257,Memorandum on Suspension of Limitations Under the Jerusalem Embassy Act,Memorandum for the Secretary of State,Suspension of Limitations under the Jerusalem Embassy Act,"Communications to Federal Agencies : Jerusalem Embassy Act of 1995, suspension of limitations, memorandum","Jerusalem Embassy Act of 1995, suspension of limitations.",Barack Obama,"June 2, 2014","11:15 a.m., June 11, 2014",201400423
1258,Memorandum on Suspension of Limitations Under the Jerusalem Embassy Act,Memorandum for the Secretary of State,Suspension of Limitations under the Jerusalem Embassy Act,"Communications to Federal Agencies : Jerusalem Embassy Act of 1995, suspension of limitations, memorandum","Jerusalem Embassy Act of 1995, suspension of limitations.",Barack Obama,"June 2, 2014","11:15 a.m., June 11, 2014",201400424
1259,Memorandum on Helping Struggling Federal Student Loan Borrowers Manage Their Debt,Memorandum for the Secretary of the Treasury and the Secretary of Education,Helping Struggling Federal Student Loan Borrowers Manage Their Debt,"Communications to Federal Agencies : Federal student loan borrowers, assistance efforts, memorandum","Education : Postsecondary education :: Student loans, repayment options.",Barack Obama,"June 9, 2014","11:15 a.m., June 11, 2014",201400440
1260,Memorandum on Creating a Federal Strategy To Promote the Health of Honey Bees and Other Pollinators,Memorandum for Heads of Executive Departments and Agencies,Creating a Federal Strategy to Promote the Health of Honey Bees and Other Pollinators,"Communications to Federal Agencies : Honey bees and other pollinators, population health promotion efforts, memorandum","Environment : Conservation :: Honey bees and other pollinators, population health promoting efforts.",Barack Obama,"June 20, 2014","11:15 a.m., June 23, 2014",201400480
1261,Memorandum on Enhancing Workplace Flexibilities and Work-Life Programs,Memorandum for the Heads of Executive Departments and Agencies,Enhancing Workplace Flexibilities and Work-Life Programs,"Communications to Federal Agencies : Workplace flexibilities and work-life programs, enhancement efforts, memorandum","Labor issues : Workplace flexibility, improvement efforts.",Barack Obama,"June 23, 2014","11:15 a.m., June 26, 2014",201400486
1262,Memorandum on Delegation of Reporting Functions Specified in Section 1206(b) of the National Defense Authorization Act for Fiscal Year 2014,Memorandum for the Secretary of State,Delegation of Reporting Functions Specified in Section 1206(b) of the National Defense Authorization Act for Fiscal Year 2014," Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2014, memorandum delegating reporting functions","Defense and national security : National Defense Authorization Act for Fiscal Year 2014; State, Department of : Secretary.",Barack Obama,"June 24, 2014",,201400489
1263,Memorandum on Delegation of Authority Pursuant to Section 4 of the Support for United States-Republic of Korea Civil Nuclear Cooperation Act,Memorandum for the Secretary of State,Delegation of Authority Pursuant to Section 4 of the Support for United States-Republic of Korea Civil Nuclear Cooperation Act," Communications to Federal Agencies : Support for United States-Republic of Korea Civil Nuclear Cooperation Act, delegation of authority, memorandum","South Korea : Nuclear energy, cooperation with U.S.",Barack Obama,"July 11, 2014",,201400534
1264,Memorandum on Expanding Public-Private Collaboration on Infrastructure Development and Financing,Memorandum for the Heads of Executive Departments and Agencies,Expanding Public-Private Collaboration on Infrastructure Development and Financing," Communications to Federal Agencies : Infrastructure development and financing, public-private collaboration expansion efforts, memorandum","Transportation : Infrastructure development and financing, Government and private sector collaboration; Transportation : Infrastructure, national, improvement efforts.",Barack Obama,"July 17, 2014",,201400543
